id,symbol,name,exchange,market_type,created_at,updated_at
87,1231,聯華食,上市,NULL,2025-06-22 12:41:28.170,2025-06-22 12:41:28.170
88,1591,駿吉,上櫃,KY,2025-06-22 12:41:28.190,2025-06-22 12:41:28.190
89,6854,錼創科技創,上市,KY,2025-06-22 12:41:28.213,2025-06-22 12:41:28.213
90,1232,大統益,上市,NULL,2025-06-22 12:41:28.233,2025-06-22 12:41:28.233
91,2035,唐榮公司,上櫃,NULL,2025-06-22 12:41:28.257,2025-06-22 12:41:28.257
92,6771,平和環保,上市,創新板,2025-06-22 12:41:28.280,2025-06-22 12:41:28.280
93,4907,富宇,上櫃,NULL,2025-06-22 12:41:28.300,2025-06-22 12:41:28.300
94,2230,泰茂,上櫃,NULL,2025-06-22 12:41:28.323,2025-06-22 12:41:28.323
95,1101,台泥,上市,NULL,2025-06-22 12:41:28.343,2025-06-22 12:41:28.343
96,4207,環泰,上櫃,NULL,2025-06-22 12:41:28.367,2025-06-22 12:41:28.367
97,1737,臺鹽,上市,NULL,2025-06-22 12:41:28.387,2025-06-22 12:41:28.387
98,5603,陸海,上櫃,NULL,2025-06-22 12:41:28.413,2025-06-22 12:41:28.413
99,2063,世鎧,上櫃,NULL,2025-06-22 12:41:28.433,2025-06-22 12:41:28.433
100,6949,沛爾生醫,上市,創新板,2025-06-22 12:41:28.457,2025-06-22 12:41:28.457
101,6988,威力暘,上市,創新板,2025-06-22 12:41:28.477,2025-06-22 12:41:28.477
102,6794,向榮生技,上市,創新板,2025-06-22 12:41:28.503,2025-06-22 12:41:28.503
103,1219,福壽,上市,NULL,2025-06-22 12:41:28.527,2025-06-22 12:41:28.527
104,4416,三圓,上櫃,NULL,2025-06-22 12:41:28.550,2025-06-22 12:41:28.550
105,1103,嘉泥,上市,NULL,2025-06-22 12:41:28.577,2025-06-22 12:41:28.577
106,2061,風青,上櫃,NULL,2025-06-22 12:41:28.600,2025-06-22 12:41:28.600
107,4113,聯上,上櫃,NULL,2025-06-22 12:41:28.620,2025-06-22 12:41:28.620
108,3489,森寶,上櫃,NULL,2025-06-22 12:41:28.640,2025-06-22 12:41:28.640
109,7631,聚賢研發,上市,創新板,2025-06-22 12:41:28.660,2025-06-22 12:41:28.660
110,1215,卜蜂,上市,NULL,2025-06-22 12:41:28.683,2025-06-22 12:41:28.683
111,3188,鑫龍騰,上櫃,NULL,2025-06-22 12:41:28.703,2025-06-22 12:41:28.703
112,2432,倚天酷碁,上市,創新板,2025-06-22 12:41:28.723,2025-06-22 12:41:28.723
113,4406,新昕纖,上櫃,NULL,2025-06-22 12:41:28.747,2025-06-22 12:41:28.747
114,1101B,台泥乙特,上市,NULL,2025-06-22 12:41:28.790,2025-06-22 12:41:28.790
115,4432,銘旺實,上櫃,NULL,2025-06-22 12:41:28.827,2025-06-22 12:41:28.827
116,5013,強新,上櫃,NULL,2025-06-22 12:41:28.850,2025-06-22 12:41:28.850
117,3150,鈺寶,上市,創新板,2025-06-22 12:41:28.873,2025-06-22 12:41:28.873
118,1229,聯華,上市,NULL,2025-06-22 12:41:28.897,2025-06-22 12:41:28.897
119,3521,鴻翊,上櫃,NULL,2025-06-22 12:41:28.920,2025-06-22 12:41:28.920
120,4433,興采,上櫃,NULL,2025-06-22 12:41:28.943,2025-06-22 12:41:28.943
121,8487,愛爾達,上市,創新板,2025-06-22 12:41:28.967,2025-06-22 12:41:28.967
122,4304,勝昱,上櫃,NULL,2025-06-22 12:41:28.990,2025-06-22 12:41:28.990
